idx,band,song,id,spread_oct,peak_ratio,fold_med,dur,flagged,segs
386,poppin_party,Time Lapse,poppin_party__386,4.30,2.077,95.7,249.0,0,96|99|96|96|96|99
192,morfonica,Ever Sky Blue,morfonica__192,4.29,2.000,99.4,241.1,0,99|99|99|99|99|99
210,morfonica,Feathered Dreams,morfonica__210,4.27,1.467,172.3,226.4,0,172|172|172|172|172|172
377,poppin_party,走り始めたばかりのキミに,poppin_party__377,4.24,2.100,123.0,261.0,0,126|123|123|123|123|120
255,mugendai_mutype,ビッグマウス,mugendai_mutype__255,4.20,1.500,143.6,173.0,0,144|144|144|144|144|144
575,roselia,Re:birth day,roselia__575,4.19,1.533,172.3,268.7,0,172|172|172|172|172|172
495,raise_a_suilen,Beautiful Birthday,raise_a_suilen__495,4.17,1.467,172.3,256.1,0,172|172|172|172|172|172
132,hello_happy_world,ハッピー☆マテリアル,hello_happy_world__132,4.16,2.000,161.5,225.0,0,161|161|161|161|161|161
622,roselia,Dear Gleam,roselia__622,4.15,2.000,99.4,253.5,0,99|99|99|99|99|99
282,mygo,回層浮,mygo__282,4.13,2.000,99.4,261.2,0,99|99|99|99|99|99
601,roselia,ROZEN HORIZON,roselia__601,4.11,1.500,161.5,366.6,0,161|161|161|161|161|161
451,poppin_party,どきどきSING OUT!,poppin_party__451,4.10,2.077,99.4,248.2,0,99|99|99|99|99|99
380,poppin_party,キラキラだとか夢だとか ～Sing Girls～,poppin_party__380,4.04,2.071,117.5,305.9,0,92|92|92|117|123|117
91,ave_mujica,in your blue eyes,ave_mujica__091,4.03,2.000,143.6,222.8,0,144|144|144|144|144|136
90,ave_mujica,The Whole Blue World,ave_mujica__090,4.02,2.000,99.4,257.3,0,99|99|99|99|99|99
7,afterglow,Sasanqua,afterglow__007,4.01,2.000,99.4,236.8,0,99|99|99|99|99|99
552,raise_a_suilen,メギツネ (Cover),raise_a_suilen__552,4.01,1.500,143.6,250.8,0,144|144|144|144|144|144
188,morfonica,ハーモニー・デイ,morfonica__188,3.92,2.000,92.3,219.2,0,92|92|92|92|92|99
379,poppin_party,ときめきエクスペリエンス！,poppin_party__379,3.92,2.071,117.5,257.7,0,123|92|92|117|117|117
350,pastel_palettes,愛包ダンスホール (Cover),pastel_palettes__350,3.89,1.056,143.6,222.8,0,144|144|144|144|144|144
427,poppin_party,夏に閉じこめて,poppin_party__427,3.86,1.929,95.7,261.6,0,96|96|96|96|99|96
168,hello_happy_world,TOMORROW (Cover),hello_happy_world__168,3.84,1.900,136.0,274.9,0,136|136|136|136|136|136
499,raise_a_suilen,REIGNING,raise_a_suilen__499,3.84,1.500,92.3,249.4,0,92|92|92|92|92|92
516,raise_a_suilen,That Is How I Roll!,raise_a_suilen__516,3.83,1.071,117.5,265.9,0,108|117|172|117|117|117
571,roselia,BLACK SHOUT,roselia__571,3.82,2.000,92.3,247.1,0,92|92|92|92|92|92
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,hello_happy_world__148,3.80,1.938,161.5,254.4,0,161|161|161|161|161|161
301,pastel_palettes,TITLE IDOL,pastel_palettes__301,3.78,1.500,143.6,268.4,0,144|144|144|144|144|144
593,roselia,覚悟のLiberation,roselia__593,3.78,2.000,92.3,260.8,0,92|92|92|92|92|92
277,mygo,端程山,mygo__277,3.74,2.071,92.3,261.0,0,172|92|178|92|92|99
287,mygo,証命讃歌,mygo__287,3.74,2.083,107.7,192.2,0,108|108|108|108|108|108
444,poppin_party,RiNG A BELL,poppin_party__444,3.72,1.500,92.3,261.1,0,92|92|92|92|92|92
218,morfonica,蒼穹へのトレイル,morfonica__218,3.71,2.077,99.4,219.2,0,96|99|96|129|99|99
460,poppin_party,開けたらDream!,poppin_party__460,3.71,2.056,139.7,309.0,0,140|144|140|140|136|136
102,various_artists,Glee! Glee! Glee!,various_artists__102,3.68,2.071,117.5,211.8,0,92|92|178|105|123|123
621,roselia,FRONTIER FANTASIA,roselia__621,3.67,1.933,172.3,262.5,0,172|144|172|178|117|172
619,roselia,一逢のFull Glory,roselia__619,3.66,2.000,99.4,232.4,0,99|99|99|99|99|99
605,roselia,名前のない怪物,roselia__605,3.65,2.071,92.3,301.3,0,92|92|92|92|92|92
547,raise_a_suilen,JUST THE WAY I AM,raise_a_suilen__547,3.64,2.071,117.5,258.7,0,172|123|117|92|92|92
588,roselia,Neo-Aspect,roselia__588,3.62,2.071,92.3,310.3,0,117|92|92|92|92|92
83,ave_mujica,Mas?uerade Rhapsody Re?uest,ave_mujica__083,3.60,1.929,95.7,249.8,0,96|96|96|96|96|96
333,pastel_palettes,Stay Alive,pastel_palettes__333,3.59,1.056,143.6,264.0,0,140|144|140|144|144|136
38,afterglow,Made My Day,afterglow__038,3.58,1.929,95.7,244.0,0,96|96|96|96|96|96
630,roselia,overtuRe,roselia__630,3.57,2.077,95.7,244.1,0,96|99|96|96|99|99
570,roselia,Neo-Aspect,roselia__570,3.55,2.071,92.3,307.3,0,120|92|92|92|92|92
603,roselia,鳥の詩,roselia__603,3.53,1.909,123.0,356.8,0,123|123|123|123|123|123
646,roselia,魂のルフラン (Cover),roselia__646,3.51,2.000,129.2,269.5,0,129|129|129|129|129|129
286,mygo,掌心正銘,mygo__286,3.50,2.000,92.3,221.5,0,92|92|92|92|92|92
642,roselia,六兆年と一夜物語 (Cover),roselia__642,3.50,2.000,92.3,216.4,0,92|92|92|92|92|92
51,afterglow,ロキ (Cover),afterglow__051,3.49,1.529,152.0,230.0,0,152|152|152|152|152|152
10,afterglow,Y.O.L.O!!!!!,afterglow__010,3.48,2.083,107.7,270.9,0,108|108|108|108|108|108
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,hello_happy_world__144,3.47,2.056,139.7,237.7,0,144|140|144|140|140|140
641,roselia,乙女解剖 (Cover),roselia__641,3.43,1.900,136.0,224.1,0,136|136|136|136|136|136
320,pastel_palettes,パッパレ☆人生！バーン万歳！,pastel_palettes__320,3.42,2.000,172.3,239.5,0,172|172|172|172|172|172
550,raise_a_suilen,ヒトリノ夜 (Cover),raise_a_suilen__550,3.42,2.000,172.3,237.8,0,172|172|172|172|172|172
207,morfonica,わたしまちがいさがし,morfonica__207,3.36,1.571,92.3,273.0,0,117|92|92|92|112|92
256,mugendai_mutype,夢現妄想世界,mugendai_mutype__256,3.31,1.538,99.4,212.2,0,99|99|99|99|99|99
297,mygo,ノンブレス・オブリージュ (Cover),mygo__297,3.31,2.059,147.7,207.3,0,144|148|148|148|152|148
